actuallyadditions:advanced_coil	Advanced Coil
regions_unexplored:wisteria_fence_gate	Wisteria Fence Gate
regions_unexplored:wisteria_hanging_sign	Wisteria Hanging Sign
regions_unexplored:wisteria_log	Wisteria Log
regions_unexplored:wisteria_planks	Wisteria Planks
regions_unexplored:wisteria_pressure_plate	Wisteria Pressure Plate
regions_unexplored:wisteria_sign	Wisteria Sign
regions_unexplored:wisteria_slab	Wisteria Slab
regions_unexplored:wisteria_stairs	Wisteria Stairs
regions_unexplored:wisteria_trapdoor	Wisteria Trapdoor
regions_unexplored:wisteria_wood	Wisteria Wood
regions_unexplored:yellow_bioshroom	Yellow Bioshroom
regions_unexplored:yellow_bioshroom_block	Yellow Bioshroom Block
regions_unexplored:yellow_bioshroom_button	Yellow Bioshroom Button
regions_unexplored:yellow_bioshroom_door	Yellow Bioshroom Door
regions_unexplored:yellow_bioshroom_fence	Yellow Bioshroom Fence
regions_unexplored:yellow_bioshroom_fence_gate	Yellow Bioshroom Fence Gate
regions_unexplored:yellow_bioshroom_hanging_sign	Yellow Bioshroom Hanging Sign
regions_unexplored:yellow_bioshroom_hyphae	Yellow Bioshroom Hyphae
regions_unexplored:yellow_bioshroom_planks	Yellow Bioshroom Planks
regions_unexplored:yellow_bioshroom_pressure_plate	Yellow Bioshroom Pressure Plate
regions_unexplored:yellow_bioshroom_sign	Yellow Bioshroom Sign
regions_unexplored:yellow_bioshroom_slab	Yellow Bioshroom Slab
regions_unexplored:yellow_bioshroom_stairs	Yellow Bioshroom Stairs
regions_unexplored:yellow_bioshroom_stem	Yellow Bioshroom Stem
regions_unexplored:yellow_bioshroom_trapdoor	Yellow Bioshroom Trapdoor
regions_unexplored:yellow_lupine	Yellow Lupine
regions_unexplored:yellow_painted_planks	Yellow Painted Planks
regions_unexplored:yellow_painted_slab	Yellow Painted Slab
regions_unexplored:yellow_painted_stairs	Yellow Painted Stairs
regions_unexplored:yellow_snowbelle	Yellow Snowbelle
relics:amphibian_boot	Amphibian Boot
relics:aqua_walker	Aqua Walker
relics:bastion_ring	Bastion Ring
relics:blazing_flask	Blazing Flask
relics:chorus_inhibitor	Chorus Inhibitor
relics:drowned_belt	Drowned Belt
relics:elytra_booster	Elytra Booster
relics:enders_hand	Ender Hand
relics:holy_locket	Holy Locket
relics:hunter_belt	Hunter Belt
relics:ice_breaker	Ice Breaker
relics:ice_skates	Ice Skates
relics:infinity_ham	Infinite Ham
relics:jellyfish_necklace	Jellyfish Necklace
relics:leafy_ring	Leafy Ring [WIP]
relics:leather_belt	Leather Belt
relics:magic_mirror	Magic Mirror
relics:magma_walker	Magma Walker
relics:midnight_robe	Midnight Robe
relics:phantom_block	Phantom Bridge Block
relics:phantom_boot	Phantom Boot
relics:rage_glove	Rage Glove
relics:reflection_necklace	Reflecting Necklace
relics:relic_experience_bottle	Relic Experience Bottle
relics:researching_table	Researching Table [Removed from the mod]
relics:roller_skates	Roller Skates
relics:shadow_glaive	Shadow Glaive
relics:solid_snowball	Frozen snowball
relics:space_dissector	Space Dissector
relics:spore_sack	Spore Sack
relics:springy_boot	Springy Boot
relics:wool_mitten	Wool Mitten
reliquary:alkahestry_altar	Altar of Light
reliquary:alkahestry_tome	Tome of Alkahestry
reliquary:angelheart_vial	Angelheart Vial
reliquary:angelic_feather	Angelic Feather
reliquary:aphrodite_potion	Aphrodite's Serum
reliquary:apothecary_cauldron	Apothecary Cauldron
reliquary:apothecary_mortar	Apothecary Mortar
reliquary:barrel_assembly	Barrel Assembly
reliquary:bat_wing	Bat Wing
reliquary:catalyzing_gland	Catalyzing Gland
reliquary:chelicerae	Chelicerae
reliquary:crimson_cloth	Crimson Cloth
reliquary:destruction_catalyst	Destruction Catalyst
reliquary:elsewhere_flask	Elsewhere Flask
reliquary:emperor_chalice	Emperor's Chalice
reliquary:empty_potion_vial	Condensed Potion Vial
reliquary:ender_staff	Ender Staff
reliquary:eye_of_the_storm	Eye of the Storm
reliquary:fertile_essence	Fertile Essence
reliquary:fertile_lily_pad	Lilypad of Fertility
reliquary:fertile_potion	Fertile Potion
reliquary:fortune_coin	Coin of Fortune
reliquary:frozen_core	Frozen Core
reliquary:glacial_staff	Glacial Staff
reliquary:glowing_bread	Glowing Bread
reliquary:glowing_water	Glowing Water
reliquary:grip_assembly	Grip Assembly
reliquary:guardian_spike	Guardian Spike
reliquary:hammer_assembly	Hammer Assembly
reliquary:handgun	Hunter's Handgun
reliquary:harvest_rod	Harvest Rod
reliquary:hero_medallion	Hero's Medallion
reliquary:holy_hand_grenade	Holy Hand Grenade
reliquary:ice_magus_rod	Ice Magus Rod
reliquary:infernal_chalice	Infernal Chalice
reliquary:infernal_claw	Infernal Claw
reliquary:infernal_claws	Infernal Claws
reliquary:infernal_tear	Infernal Tear
reliquary:interdiction_torch	Interdiction Torch
reliquary:kraken_shell	Kraken Shell
reliquary:kraken_shell_fragment	Kraken Shell Fragment
reliquary:lantern_of_paranoia	Lantern Of Paranoia
reliquary:lingering_potion	Lingering Condensed Potion
reliquary:magicbane	Magicbane
reliquary:mercy_cross	Cross of Mercy
reliquary:midas_touchstone	Touchstone of Midas
reliquary:mob_charm_belt	Charm Belt
reliquary:molten_core	Molten Core
reliquary:nebulous_heart	Nebulous Heart
reliquary:passive_pedestal	Pedestal (Display only)
reliquary:pedestal	Pedestal
reliquary:phoenix_down	Phoenix Down
reliquary:potion	Condensed Potion
reliquary:potion_essence	Potion Essence
reliquary:pyromancer_staff	Pyromancer's Staff
reliquary:rending_gale	Rending Gale
reliquary:rib_bone	Rib Bone
reliquary:rod_of_lyssa	Rod of Lyssa
reliquary:salamander_eye	Salamander's Eye
reliquary:serpent_staff	Serpent Staff
reliquary:shears_of_winter	Shears of Winter
reliquary:slime_pearl	Slime Pearl
reliquary:sojourner_staff	Sojourner's Staff
reliquary:splash_potion	Splash Condensed Potion
reliquary:squid_beak	Squid Beak
reliquary:tipped_arrow	Tipped Arrow
reliquary:twilight_cloak	Twilight Cloak
reliquary:void_tear	Void Tear
reliquary:witch_hat	Witch Hat
reliquary:withered_rib	Withered Rib
reliquary:witherless_rose	Witherless Rose
reliquary:wraith_node	Wraith Node
reliquary:xp_bucket	Bucket of Experience
reliquary:zombie_heart	Zombie Heart
reliquified_lenders_cataclysm:scouring_eye	Scouring Eye
reliquified_lenders_cataclysm:vacuum_glove	Vacuum Glove
reliquified_lenders_cataclysm:void_bubble	Void Bubble
reliquified_lenders_cataclysm:void_cloak	Void Cloak
reliquified_lenders_cataclysm:void_vortex_in_bottle	Void Vortex in a Bottle
robot_spawner:guide	Spawn a Target Dummy Spawner that measures damage done by a player.  Can be given armor that will affect damage taken, and drop on death.  Has no movement or attacks.  Can be killed, or removed instantly by using the spawner on it again.
robot_spawner:tooltip	[EXPERIMENTAL FEATURE] Spawn a Target Dummy Spawner that measures damage done by a player
runelic:runelic_pattern	Banner Pattern
sceptersteel:badanchorpos	The Scan Tool's anchor position is outside the scanned area! Please move it using shift + right-click!
sceptersteel:samepoint	That was the same point!
sceptersteel:scanfailure	Scan failed to save
seaworthyboats:shipyard	Shipyard
securitycraft:acacia_security_sea_boat	Acacia Security Sea Boat
securitycraft:admin_tool	Admin Tool
securitycraft:alarm	Alarm
securitycraft:ancient_debris_mine	Ancient Debris Mine
securitycraft:bamboo_security_sea_raft	Bamboo Security Sea Raft
securitycraft:birch_security_sea_boat	Birch Security Sea Boat
securitycraft:blacklist_module	Denylist Module
securitycraft:blast_furnace_mine	Blast Furnace Mine
securitycraft:block_change_detector	Block Change Detector
securitycraft:block_pocket_manager	Block Pocket Manager
securitycraft:block_pocket_wall	Block Pocket Wall
securitycraft:bogus_lava	Fake Lava
securitycraft:bogus_water	Fake Water
securitycraft:bouncing_betty	Bouncing Betty
securitycraft:briefcase	Briefcase
securitycraft:bucket_f_lava	Fake Lava Bucket
securitycraft:bucket_f_water	Fake Water Bucket
securitycraft:cage_trap	Cage Trap
securitycraft:camera_monitor	Camera Monitor
securitycraft:cherry_security_sea_boat	Cherry Security Sea Boat
securitycraft:chiseled_crystal_quartz	Chiseled Crystal Quartz Block
securitycraft:claymore	Claymore
securitycraft:coal_mine	Coal Ore Mine
securitycraft:cobbled_deepslate_mine	Cobbled Deepslate Mine
securitycraft:cobblestone_mine	Cobblestone Mine
securitycraft:codebreaker	Codebreaker
securitycraft:colored_lens	Colored Lens
securitycraft:copper_mine	Copper Ore Mine
securitycraft:crystal_quartz	Block of Crystal Quartz
securitycraft:crystal_quartz_bricks	Crystal Quartz Bricks
securitycraft:crystal_quartz_item	Crystal Quartz
securitycraft:crystal_quartz_pillar	Crystal Quartz Pillar
securitycraft:crystal_quartz_slab	Crystal Quartz Slab
securitycraft:crystal_quartz_stairs	Crystal Quartz Stairs
securitycraft:dark_oak_security_sea_boat	Dark Oak Security Sea Boat
securitycraft:deactivated_cage_trap	Deactivated Cage Trap
securitycraft:deepslate_coal_mine	Deepslate Coal Ore Mine
securitycraft:deepslate_copper_mine	Deepslate Copper Ore Mine
securitycraft:deepslate_diamond_mine	Deepslate Diamond Ore Mine
securitycraft:deepslate_emerald_mine	Deepslate Emerald Ore Mine
securitycraft:deepslate_gold_mine	Deepslate Gold Ore Mine
securitycraft:deepslate_iron_mine	Deepslate Iron Ore Mine
securitycraft:deepslate_lapis_mine	Deepslate Lapis Lazuli Ore Mine
securitycraft:deepslate_mine	Deepslate Mine
securitycraft:deepslate_redstone_mine	Deepslate Redstone Ore Mine
securitycraft:diamond_mine	Diamond Ore Mine
securitycraft:dirt_mine	Dirt Mine
securitycraft:disguise_module	Disguise Module
securitycraft:display_case	Display Case
securitycraft:door_indestructible_iron_item	Reinforced Iron Door
securitycraft:electrified_iron_fence	Electrified Iron Fence
securitycraft:emerald_mine	Emerald Ore Mine
securitycraft:end_stone_mine	End Stone Mine
securitycraft:floor_trap	Floor Trap
securitycraft:furnace_mine	Furnace Mine
securitycraft:gilded_blackstone_mine	Gilded Blackstone Mine
securitycraft:glow_display_case	Glow Display Case
securitycraft:gold_mine	Gold Ore Mine
securitycraft:gravel_mine	Gravel Mine
securitycraft:harming_module	Harming Module
securitycraft:ims	Intelligent Munitions System
securitycraft:incognito_mask	Incognito Mask
securitycraft:inventory_scanner	Inventory Scanner
securitycraft:inventory_scanner_field	Inventory Scanner Field
securitycraft:iron_door_reinforced	Reinforced Door
securitycraft:iron_mine	Iron Ore Mine
securitycraft:jungle_security_sea_boat	Jungle Security Sea Boat
securitycraft:key_panel	Key Panel
securitycraft:keycard_holder	Keycard Holder
securitycraft:keycard_lock	Keycard Lock
securitycraft:keycard_lv1	Level 1 Keycard
securitycraft:keycard_lv2	Level 2 Keycard
securitycraft:keycard_lv3	Level 3 Keycard
securitycraft:keycard_lv4	Level 4 Keycard
securitycraft:keycard_lv5	Level 5 Keycard
securitycraft:keycard_reader	Keycard Reader
securitycraft:keycards	Keycards
securitycraft:keypad	Keypad
securitycraft:keypad_barrel	Passcode-protected Barrel
securitycraft:keypad_blast_furnace	Passcode-protected Blast Furnace
securitycraft:keypad_chest	Passcode-protected Chest
securitycraft:keypad_chest_double	Large Passcode-protected Chest
securitycraft:keypad_door	Keypad Door
securitycraft:keypad_door_item	Keypad Door
securitycraft:keypad_frame	Frame
securitycraft:keypad_furnace	Passcode-protected Furnace
securitycraft:keypad_item	Key Panel
securitycraft:keypad_smoker	Passcode-protected Smoker
securitycraft:keypad_trapdoor	Keypad Trapdoor
securitycraft:lapis_mine	Lapis Lazuli Ore Mine
securitycraft:laser	Laser
securitycraft:laser_block	Laser Block
securitycraft:lens	Lens
securitycraft:limited_use_keycard	Limited Use Keycard
securitycraft:mangrove_security_sea_boat	Mangrove Security Sea Boat
securitycraft:mine	Mine
securitycraft:motion_activated_light	Motion-Activated Light
securitycraft:nether_gold_mine	Nether Gold Ore Mine
securitycraft:netherrack_mine	Netherrack Mine
securitycraft:oak_security_sea_boat	Oak Security Sea Boat
securitycraft:panic_button	Panic Button
securitycraft:portable_radar	Portable Radar
securitycraft:portable_tune_player	Portable Tune Player
securitycraft:projector	Projector
securitycraft:protecto	Protecto
securitycraft:quartz_mine	Nether Quartz Ore Mine
securitycraft:redstone_mine	Redstone Ore Mine
securitycraft:redstone_module	Redstone Module
securitycraft:reinforced_acacia_button	Reinforced Acacia Button
securitycraft:reinforced_acacia_fence	Reinforced Acacia Fence
securitycraft:reinforced_acacia_fence_gate	Reinforced Acacia Fence Gate
securitycraft:reinforced_acacia_log	Reinforced Acacia Log
securitycraft:reinforced_acacia_planks	Reinforced Acacia Planks
securitycraft:reinforced_acacia_pressure_plate	Reinforced Acacia Pressure Plate
securitycraft:reinforced_acacia_slab	Reinforced Acacia Slab
securitycraft:reinforced_acacia_stairs	Reinforced Acacia Stairs
securitycraft:reinforced_acacia_wood	Reinforced Acacia Wood
securitycraft:reinforced_amethyst_block	Reinforced Block of Amethyst
securitycraft:reinforced_andesite	Reinforced Andesite
securitycraft:reinforced_andesite_slab	Reinforced Andesite Slab
securitycraft:reinforced_andesite_stairs	Reinforced Andesite Stairs
securitycraft:reinforced_andesite_wall	Reinforced Andesite Wall
securitycraft:reinforced_bamboo_block	Reinforced Block of Bamboo
securitycraft:reinforced_bamboo_button	Reinforced Bamboo Button
securitycraft:reinforced_bamboo_fence	Reinforced Bamboo Fence
securitycraft:reinforced_bamboo_fence_gate	Reinforced Bamboo Fence Gate
securitycraft:reinforced_bamboo_mosaic	Reinforced Bamboo Mosaic
securitycraft:reinforced_bamboo_mosaic_slab	Reinforced Bamboo Mosaic Slab
securitycraft:reinforced_bamboo_mosaic_stairs	Reinforced Bamboo Mosaic Stairs
securitycraft:reinforced_bamboo_planks	Reinforced Bamboo Planks
securitycraft:reinforced_bamboo_pressure_plate	Reinforced Bamboo Pressure Plate
securitycraft:reinforced_bamboo_slab	Reinforced Bamboo Slab
securitycraft:reinforced_bamboo_stairs	Reinforced Bamboo Stairs
securitycraft:reinforced_basalt	Reinforced Basalt
securitycraft:reinforced_birch_button	Reinforced Birch Button
securitycraft:reinforced_birch_fence	Reinforced Birch Fence
securitycraft:reinforced_birch_fence_gate	Reinforced Birch Fence Gate
securitycraft:reinforced_birch_log	Reinforced Birch Log
securitycraft:reinforced_birch_planks	Reinforced Birch Planks
securitycraft:reinforced_birch_pressure_plate	Reinforced Birch Pressure Plate
securitycraft:reinforced_birch_slab	Reinforced Birch Slab
securitycraft:reinforced_birch_stairs	Reinforced Birch Stairs
securitycraft:reinforced_birch_wood	Reinforced Birch Wood
securitycraft:reinforced_black_carpet	Reinforced Black Carpet
securitycraft:reinforced_black_concrete	Reinforced Black Concrete
securitycraft:reinforced_black_glazed_terracotta	Reinforced Black Glazed Terracotta
securitycraft:reinforced_black_stained_glass	Reinforced Black Stained Glass
securitycraft:reinforced_black_stained_glass_pane	Reinforced Black Stained Glass Pane
securitycraft:reinforced_black_terracotta	Reinforced Black Terracotta
securitycraft:reinforced_black_wool	Reinforced Black Wool
securitycraft:reinforced_blackstone	Reinforced Blackstone
securitycraft:reinforced_blackstone_slab	Reinforced Blackstone Slab
securitycraft:reinforced_blackstone_stairs	Reinforced Blackstone Stairs
securitycraft:reinforced_blackstone_wall	Reinforced Blackstone Wall
securitycraft:reinforced_blue_carpet	Reinforced Blue Carpet
securitycraft:reinforced_blue_concrete	Reinforced Blue Concrete
securitycraft:reinforced_blue_glazed_terracotta	Reinforced Blue Glazed Terracotta
securitycraft:reinforced_blue_ice	Reinforced Blue Ice
securitycraft:reinforced_blue_stained_glass	Reinforced Blue Stained Glass
securitycraft:reinforced_blue_stained_glass_pane	Reinforced Blue Stained Glass Pane
securitycraft:reinforced_blue_terracotta	Reinforced Blue Terracotta
securitycraft:reinforced_blue_wool	Reinforced Blue Wool
securitycraft:reinforced_bone_block	Reinforced Bone Block
securitycraft:reinforced_bookshelf	Reinforced Bookshelf
securitycraft:reinforced_brick_slab	Reinforced Brick Slab
securitycraft:reinforced_brick_stairs	Reinforced Brick Stairs
securitycraft:reinforced_brick_wall	Reinforced Brick Wall
securitycraft:reinforced_bricks	Reinforced Bricks
securitycraft:reinforced_brown_carpet	Reinforced Brown Carpet
securitycraft:reinforced_brown_concrete	Reinforced Brown Concrete
securitycraft:reinforced_brown_glazed_terracotta	Reinforced Brown Glazed Terracotta
securitycraft:reinforced_brown_stained_glass	Reinforced Brown Stained Glass
securitycraft:reinforced_brown_stained_glass_pane	Reinforced Brown Stained Glass Pane
securitycraft:reinforced_brown_terracotta	Reinforced Brown Terracotta
securitycraft:reinforced_brown_wool	Reinforced Brown Wool
securitycraft:reinforced_calcite	Reinforced Calcite
securitycraft:reinforced_cauldron	Reinforced Cauldron
securitycraft:reinforced_chain	Reinforced Chain
securitycraft:reinforced_cherry_button	Reinforced Cherry Button
securitycraft:reinforced_cherry_fence	Reinforced Cherry Fence
securitycraft:reinforced_cherry_fence_gate	Reinforced Cherry Fence Gate
securitycraft:reinforced_cherry_log	Reinforced Cherry Log
securitycraft:reinforced_cherry_planks	Reinforced Cherry Planks
securitycraft:reinforced_cherry_pressure_plate	Reinforced Cherry Pressure Plate
securitycraft:reinforced_cherry_slab	Reinforced Cherry Slab
securitycraft:reinforced_cherry_stairs	Reinforced Cherry Stairs
securitycraft:reinforced_cherry_wood	Reinforced Cherry Wood
securitycraft:reinforced_chiseled_bookshelf	Reinforced Chiseled Bookshelf
securitycraft:reinforced_chiseled_copper	Reinforced Chiseled Copper
securitycraft:reinforced_chiseled_crystal_quartz_block	Reinforced Chiseled Crystal Quartz Block
securitycraft:reinforced_chiseled_deepslate	Reinforced Chiseled Deepslate
